month_word,month_num,deaths_imputed,year,deaths_original
January,1,2392,2010,2392
February,2,2227,2010,2227
March,3,2495,2010,2495
April ,4,2298,2010,2298
May,5,2449,2010,2449
June,6,2405,2010,2405
July,7,2478,2010,2478
August,8,2575,2010,2575
September,9,2281,2010,2281
October,10,2468,2010,2468
November,11,2512,2010,2512
December,12,2776,2010,2776
January,1,2728,2011,2728
February,2,2363,2011,2363
March,3,2770,2011,2770
April,4,2448,2011,2448
May,5,2477,2011,2477
June,6,2458,2011,2458
July,7,2468,2011,2468
August,8,2443,2011,2443
September,9,2359,2011,2359
October,10,2483,2011,2483
November,11,2360,2011,2360
December,12,2645,2011,2645
January,1,2619,2012,2619
February,2,2448,2012,2448
March,3,2575,2012,2575
April,4,2478,2012,2478
May,5,2379,2012,2379
June,6,2555,2012,2555
July,7,2446,2012,2446
August,8,2470,2012,2470
September,9,2454,2012,2454
October,10,2420,2012,2420
November,11,2455,2012,2455
December,12,2574,2012,2574
January,1,2578,2013,2578
February,2,2376,2013,2376
March,3,2705,2013,2705
April,4,2314,2013,2314
May,5,2399,2013,2399
June,6,2337,2013,2337
July,7,2485,2013,2485
August,8,2497,2013,2497
September,9,2469,2013,2469
October,10,2398,2013,2398
November,11,2268,2013,2268
December,12,2540,2013,2540
January,1,2484,2014,2484
February,2,2216,2014,2216
March,3,2489,2014,2489
April,4,2396,2014,2396
May,5,2479,2014,2479
June,6,2387,2014,2387
July,7,2420,2014,2420
August,8,2536,2014,2536
September,9,2495,2014,2495
October,10,2486,2014,2891
November,11,2649,2014,2649
December,12,2889,2014,2889
January,1,2744,2015,2744
February,2,2403,2015,2403
March,3,2427,2015,2427
April,4,2259,2015,2259
May,5,2339,2015,2339
June,6,2146,2015,2146
July,7,2380,2015,2380
August,8,2272,2015,2272
September,9,2258,2015,2258
October,10,2391,2015,2391
November,11,2268,2015,2268
December,12,2516,2015,2516
January,1,2742,2016,2742
February,2,2592,2016,2592
March,3,2458,2016,2458
April,4,2241,2016,2241
May,5,2312,2016,2312
June,6,2355,2016,2355
July,7,2456,2016,2456
August,8,2427,2016,2427
September,9,2367,2016,2367
October,10,2357,2016,2357
November,11,2484,2016,2484
December,12,2854,2016,2854
January,1,2894,2017,2894
February,2,2315,2017,2315
March,3,2494,2017,2494
April,4,2392,2017,2392
May,5,2390,2017,2390
June,6,2369,2017,2369
July,7,2367,2017,2367
August,8,2321,2017,2321
September,9,2928,2017,2928
October,10,3040,2017,3040
November,11,2671,2017,2671
December,12,2820,2017,2820
